213.60.74.74 - - "2014-06-12 00:00:44" http://enginy.uib.es/index.php/enginy/article/download/49/31 200 "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
63.141.248.28 - - "2014-06-12 00:10:55" http://enginy.uib.es/index.php/Materialidades/index 200 "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36"
63.141.248.28 - - "2014-06-12 00:15:56" http://enginy.uib.es/index.php/Materialidades/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36"
192.151.152.203 - - "2014-06-12 00:30:24" http://edicions.uib.es/ojs/index.php/enginy/article/download/48/30 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36"
192.151.152.203 - - "2014-06-12 00:30:24" http://edicions.uib.es/ojs/index.php/enginy/article/download/48/30 200 "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36"
200.55.152.130 - - "2014-06-12 00:36:33" http://edicions.uib.es/ojs/index.php/enginy/article/download/48/30 200 "Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0"
144.76.185.173 - - "2014-06-12 00:43:01" http://enginy.uib.es/index.php/enginy/article/download/72/51 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.13+ (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2"
148.251.75.46 - - "2014-06-12 00:43:02" http://enginy.uib.es/index.php/enginy/issue/view/8 200 "Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20120403211507 Firefox/12.0"
144.76.155.8 - - "2014-06-12 00:56:04" http://enginy.uib.es/index.php/enginy/article/download/56/38 200 "Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0"
192.151.152.203 - - "2014-06-12 01:41:11" http://enginy.uib.es/index.php/Materialidades/index 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36"
192.151.152.203 - - "2014-06-12 01:41:12" http://enginy.uib.es/index.php/Materialidades/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.13014 YaBrowser/13.12.1599.13014 Safari/537.36"
