157.55.39.222 bot - "2014-06-25 00:03:42" http://enginy.uib.es/index.php/enginy/article/download/47/29 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.70.109 bot - "2014-06-25 00:10:00" http://enginy.uib.es/index.php/enginy/article/download/26/10 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
146.155.14.101 - - "2014-06-25 00:13:49" http://enginy.uib.es/index.php/enginy/article/download/47/29 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
146.155.14.101 - - "2014-06-25 00:37:19" http://enginy.uib.es/index.php/enginy/article/download/47/29 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
186.124.57.98 - - "2014-06-25 00:45:44" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
190.211.19.120 - - "2014-06-25 00:57:44" http://enginy.uib.es/index.php/enginy/article/download/78/57 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
66.249.70.109 bot - "2014-06-25 01:22:47" http://enginy.uib.es/index.php/enginy/article/download/31/15 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.109 bot - "2014-06-25 02:36:37" http://enginy.uib.es/index.php/enginy/article/download/44/27 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
181.55.4.51 - - "2014-06-25 02:37:10" http://enginy.uib.es/index.php/enginy/article/download/80/59 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
181.55.4.51 - - "2014-06-25 02:39:49" http://enginy.uib.es/index.php/enginy/article/download/80/59 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
66.249.70.109 bot - "2014-06-25 03:39:57" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
189.131.52.239 - - "2014-06-25 04:01:14" http://enginy.uib.es/index.php/enginy/article/download/19/3 200 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)"
66.249.70.109 bot - "2014-06-25 04:38:31" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.255 bot - "2014-06-25 04:39:06" http://enginy.uib.es/index.php/enginy/article/download/78/57 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.70.109 bot - "2014-06-25 04:42:57" http://enginy.uib.es/index.php/enginy/article/view/32 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
193.111.141.44 - - "2014-06-25 05:01:06" http://enginy.uib.es/index.php/enginy/article/view/19 200 "Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20120403211507 Firefox/12.0"
66.249.76.16 bot - "2014-06-25 05:03:52" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.109 bot - "2014-06-25 05:41:27" http://enginy.uib.es/index.php/enginy/article/download/75/54 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
178.63.0.194 - - "2014-06-25 06:11:56" http://enginy.uib.es/index.php/enginy/article/download/80/59 200 "Mozilla/4.0 (Windows NT 6.2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.70 Safari/537.17"
178.63.0.194 - - "2014-06-25 06:11:57" http://enginy.uib.es/index.php/enginy/article/download/80/59 200 "Mozilla/4.0 (Windows NT 6.2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.70 Safari/537.17"
66.249.76.16 bot - "2014-06-25 06:41:13" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
189.220.160.255 - - "2014-06-25 06:41:24" http://enginy.uib.es/index.php/enginy/article/download/82/61 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
66.249.76.16 bot - "2014-06-25 06:43:44" http://edicions.uib.cat/ojs/index.php/enginy/article/download/150/126 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.16 bot - "2014-06-25 06:45:55" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/131 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.70.109 bot - "2014-06-25 06:47:54" http://enginy.uib.es/index.php/enginy/article/download/22/6 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.16 bot - "2014-06-25 06:51:39" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
181.95.255.16 - - "2014-06-25 06:52:14" http://enginy.uib.es/index.php/enginy/article/download/80/59 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36 OPR/22.0.1471.70 (Edition Campaign 37)"
66.249.76.170 bot - "2014-06-25 06:54:14" http://edicions.uib.es/ojs/index.php/enginy/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.64 bot - "2014-06-25 06:54:39" http://enginy.uib.es/index.php/enginy/article/view/77 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.76.16 bot - "2014-06-25 06:56:24" http://edicions.uib.cat/ojs/index.php/enginy/article/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
