189.129.186.219 - - "2015-06-02 00:19:54" http://enginy.uib.es/index.php/enginy/article/view/11 200 "Mozilla/5.0 (Linux; U; Android 4.0.4; es-LA; ST21a Build/11.0.A.4.22) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.4.1.565 U3/0.8.0 Mobile Safari/534.30"
83.47.12.185 - - "2015-06-02 00:24:07" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
83.47.12.185 - - "2015-06-02 00:25:06" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
157.55.39.225 bot - "2015-06-02 00:30:16" http://enginy.uib.es/index.php/enginy/article/download/49/31 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)"
107.150.42.226 - - "2015-06-02 00:45:08" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) )"
107.150.42.226 - - "2015-06-02 00:45:09" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
107.150.42.226 - - "2015-06-02 00:45:15" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) )"
107.150.42.226 - - "2015-06-02 00:45:15" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 1.0.3705)"
189.121.121.30 - - "2015-06-02 00:47:13" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
189.121.121.30 - - "2015-06-02 00:49:08" http://edicions.uib.cat/ojs/index.php/crtc/issue/view/44 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
189.121.121.30 - - "2015-06-02 00:50:04" http://edicions.uib.cat/ojs/index.php/crtc/article/download/218/182 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
189.121.121.30 - - "2015-06-02 00:50:36" http://edicions.uib.cat/ojs/index.php/crtc/issue/view/44 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
189.121.121.30 - - "2015-06-02 00:51:22" http://edicions.uib.cat/ojs/index.php/crtc/article/download/225/189 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
189.121.121.30 - - "2015-06-02 00:52:19" http://edicions.uib.cat/ojs/index.php/crtc/issue/view/44 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
189.121.121.30 - - "2015-06-02 00:52:53" http://edicions.uib.cat/ojs/index.php/crtc/issue/view/44 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
123.125.71.30 - - "2015-06-02 00:53:22" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
