204.79.180.51 - - "2016-04-15 00:01:06" http://enginy.uib.es/index.php/enginy/article/download/71/50 200 "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)"
66.249.66.148 bot - "2016-04-15 00:04:54" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
5.9.152.3 - - "2016-04-15 00:06:15" http://enginy.uib.es/index.php/enginy/article/view/8 200 "linguatools-bot/Nutch-1.6 (searching for translated pages; http://www.linguatools.de/linguatoolsbot.html; peter dot kolb at linguatools dot org)"
66.249.66.148 bot - "2016-04-15 00:07:22" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:09:20" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:10:34" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:11:38" http://enginy.uib.es/index.php/Materialidades/issue/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:12:14" http://enginy.uib.es/index.php/Materialidades/issue/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:12:38" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.156 bot - "2016-04-15 00:14:59" http://enginy.uib.es/index.php/Materialidades/issue/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:15:04" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
5.9.152.3 - - "2016-04-15 00:18:09" http://enginy.uib.es/index.php/enginy/article/view/10 200 "linguatools-bot/Nutch-1.6 (searching for translated pages; http://www.linguatools.de/linguatoolsbot.html; peter dot kolb at linguatools dot org)"
66.249.66.156 bot - "2016-04-15 00:19:23" http://enginy.uib.es/index.php/Materialidades/article/download/131/104 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.148 bot - "2016-04-15 00:23:46" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
5.9.152.3 - - "2016-04-15 00:24:35" http://enginy.uib.es/index.php/enginy/article/view/1 200 "linguatools-bot/Nutch-1.6 (searching for translated pages; http://www.linguatools.de/linguatoolsbot.html; peter dot kolb at linguatools dot org)"
5.9.152.3 - - "2016-04-15 00:32:51" http://enginy.uib.es/index.php/enginy/article/view/11 200 "linguatools-bot/Nutch-1.6 (searching for translated pages; http://www.linguatools.de/linguatoolsbot.html; peter dot kolb at linguatools dot org)"
5.9.152.3 - - "2016-04-15 00:39:23" http://enginy.uib.es/index.php/enginy/article/view/3 200 "linguatools-bot/Nutch-1.6 (searching for translated pages; http://www.linguatools.de/linguatoolsbot.html; peter dot kolb at linguatools dot org)"
68.180.229.126 bot - "2016-04-15 01:04:53" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
148.206.41.189 - - "2016-04-15 01:18:23" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36"
