91.200.12.7 - - "2016-08-19 00:02:04" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/334/351 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 YaBrowser/16.2.0.3539 Safari/537.36"
180.76.15.135 bot - "2016-08-19 00:10:56" http://edicions.uib.cat/ojs/index.php/enginy/article/view/34 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
40.77.167.44 bot - "2016-08-19 01:41:22" http://enginy.uib.es/index.php/Materialidades/article/view/158 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
119.81.39.47 - - "2016-08-19 01:46:23" http://enginy.uib.es/index.php/Curs_OJS/issue/view/18 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:47:26" http://enginy.uib.es/index.php/Curs_OJS/issue/view/24 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:48:12" http://enginy.uib.es/index.php/Curs_OJS/issue/view/25 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:48:57" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:49:38" http://enginy.uib.es/index.php/enginy/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:50:16" http://enginy.uib.es/index.php/enginy/issue/view/6 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:50:53" http://enginy.uib.es/index.php/enginy/issue/view/7 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 01:51:27" http://enginy.uib.es/index.php/enginy/issue/view/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
66.249.69.248 bot - "2016-08-19 02:14:52" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
119.81.39.47 - - "2016-08-19 03:02:03" http://enginy.uib.es/index.php/Curs_OJS/issue/view/18 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 03:02:31" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 03:02:51" http://enginy.uib.es/index.php/enginy/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 03:03:10" http://enginy.uib.es/index.php/enginy/issue/view/6 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 03:03:29" http://enginy.uib.es/index.php/enginy/issue/view/7 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
119.81.39.47 - - "2016-08-19 03:03:47" http://enginy.uib.es/index.php/enginy/issue/view/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
66.249.64.185 bot - "2016-08-19 03:18:42" http://edicions.uib.cat/ojs/index.php/enginy/article/download/19/3 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.70 bot - "2016-08-19 03:28:57" http://enginy.uib.es/index.php/Materialidades/issue/view/52 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.162 bot - "2016-08-19 04:10:33" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
103.8.79.229 - - "2016-08-19 04:21:43" http://enginy.uib.es/index.php/enginy/article/view/1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
37.233.99.157 - - "2016-08-19 04:25:03" http://enginy.uib.es/index.php/enginy/article/view/10 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
101.98.11.146 - - "2016-08-19 04:28:40" http://enginy.uib.es/index.php/enginy/article/view/101 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
193.171.202.150 - - "2016-08-19 04:31:48" http://enginy.uib.es/index.php/enginy/article/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
85.248.227.163 - - "2016-08-19 04:34:25" http://enginy.uib.es/index.php/enginy/article/view/12 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
101.98.11.146 - - "2016-08-19 04:37:44" http://enginy.uib.es/index.php/enginy/article/view/13 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
78.41.115.145 - - "2016-08-19 04:40:35" http://enginy.uib.es/index.php/enginy/article/view/14 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
101.98.11.146 - - "2016-08-19 04:43:47" http://enginy.uib.es/index.php/enginy/article/view/15 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
189.248.205.108 - - "2016-08-19 04:44:05" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/48.0.2564.82 Chrome/48.0.2564.82 Safari/537.36"
61.230.119.72 - - "2016-08-19 04:49:04" http://enginy.uib.es/index.php/enginy/article/view/18 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
50.31.252.11 - - "2016-08-19 04:51:45" http://enginy.uib.es/index.php/enginy/article/view/19 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
79.172.193.32 - - "2016-08-19 04:54:27" http://enginy.uib.es/index.php/enginy/article/view/2 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
193.171.202.150 - - "2016-08-19 05:00:35" http://enginy.uib.es/index.php/enginy/article/view/20 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
178.17.173.22 - - "2016-08-19 05:03:10" http://enginy.uib.es/index.php/enginy/article/view/21 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
85.248.227.165 - - "2016-08-19 05:06:59" http://enginy.uib.es/index.php/enginy/article/view/22 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
85.248.227.163 - - "2016-08-19 05:10:48" http://enginy.uib.es/index.php/enginy/article/view/23 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
59.127.163.155 - - "2016-08-19 05:14:16" http://enginy.uib.es/index.php/enginy/article/view/24 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
138.201.59.34 bot - "2016-08-19 05:16:43" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
85.248.227.164 - - "2016-08-19 05:17:21" http://enginy.uib.es/index.php/enginy/article/view/25 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
120.29.217.46 - - "2016-08-19 05:20:58" http://enginy.uib.es/index.php/enginy/article/view/26 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
121.54.175.50 - - "2016-08-19 05:23:57" http://enginy.uib.es/index.php/enginy/article/view/27 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
85.248.227.164 - - "2016-08-19 05:27:17" http://enginy.uib.es/index.php/enginy/article/view/28 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
27.50.94.251 - - "2016-08-19 05:30:37" http://enginy.uib.es/index.php/enginy/article/view/29 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
46.183.216.169 - - "2016-08-19 05:34:59" http://enginy.uib.es/index.php/enginy/article/view/3 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
171.25.193.131 - - "2016-08-19 05:39:35" http://enginy.uib.es/index.php/enginy/article/view/30 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
78.41.115.145 - - "2016-08-19 05:42:38" http://enginy.uib.es/index.php/enginy/article/view/31 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
81.170.184.90 - - "2016-08-19 05:47:27" http://enginy.uib.es/index.php/enginy/article/view/32 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
46.183.216.169 - - "2016-08-19 05:50:20" http://enginy.uib.es/index.php/enginy/article/view/33 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
212.16.104.33 - - "2016-08-19 05:53:39" http://enginy.uib.es/index.php/enginy/article/view/34 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
85.248.227.163 - - "2016-08-19 05:56:58" http://enginy.uib.es/index.php/enginy/article/view/35 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
101.98.11.146 - - "2016-08-19 06:00:00" http://enginy.uib.es/index.php/enginy/article/view/36 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
109.163.234.7 - - "2016-08-19 06:03:12" http://enginy.uib.es/index.php/enginy/article/view/37 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
150.107.150.102 - - "2016-08-19 06:06:54" http://enginy.uib.es/index.php/enginy/article/view/39 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
94.242.57.2 - - "2016-08-19 06:10:04" http://enginy.uib.es/index.php/enginy/article/view/4 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
212.16.104.33 - - "2016-08-19 06:12:22" http://enginy.uib.es/index.php/enginy/article/view/41 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
