195.76.181.177 - - "2017-03-18 00:00:04" http://edicions.uib.cat/ojs/index.php/CIRUGIA/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:51.0) Gecko/20100101 Firefox/51.0"
190.12.77.19 - - "2017-03-18 00:03:27" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
207.46.13.43 bot - "2017-03-18 00:03:56" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
190.12.77.19 - - "2017-03-18 00:05:03" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
157.55.39.8 bot - "2017-03-18 00:09:44" http://enginy.uib.es/index.php/enginy/article/download/12/90 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.66.100 bot - "2017-03-18 00:45:54" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
136.243.103.153 bot - "2017-03-18 00:45:58" http://enginy.uib.es/index.php/enginy/article/download/29/13 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:01" http://enginy.uib.es/index.php/enginy/article/view/50 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:12" http://enginy.uib.es/index.php/enginy/article/view/101 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:24" http://enginy.uib.es/index.php/enginy/article/download/101/117 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:28" http://enginy.uib.es/index.php/enginy/article/view/63 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:40" http://enginy.uib.es/index.php/enginy/article/download/63/46 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:43" http://enginy.uib.es/index.php/enginy/article/view/64 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:55" http://enginy.uib.es/index.php/enginy/article/download/64/47 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:46:58" http://enginy.uib.es/index.php/enginy/article/view/27 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:47:09" http://enginy.uib.es/index.php/enginy/article/view/94 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
