37.10.224.82 - - "2017-04-15 00:01:17" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G920F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.0 Chrome/51.0.2704.106 Mobile Safari/537.36"
199.16.157.182 bot - "2017-04-15 00:01:54" http://enginy.uib.es/index.php/enginy/article/view/34 200 "Twitterbot/1.0"
66.249.64.136 bot - "2017-04-15 00:17:43" http://enginy.uib.es/index.php/enginy/article/download/33/17 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.27 bot - "2017-04-15 00:21:48" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.64.146 bot - "2017-04-15 00:35:18" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.248 bot - "2017-04-15 00:42:05" http://edicions.uib.cat/ojs/index.php/enginy/article/view/34 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.240 bot - "2017-04-15 00:42:36" http://edicions.uib.cat/ojs/index.php/enginy/article/view/12 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
92.56.199.199 - - "2017-04-15 01:09:26" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
66.249.64.248 bot - "2017-04-15 02:16:15" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/366 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.113 bot - "2017-04-15 03:48:38" http://edicions.uib.cat/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.113 bot - "2017-04-15 03:48:39" http://edicions.uib.cat/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.146 bot - "2017-04-15 03:54:52" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.146 bot - "2017-04-15 05:02:53" http://enginy.uib.es/index.php/enginy/article/download/73/52 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.63 bot - "2017-04-15 05:56:27" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.141 bot - "2017-04-15 06:00:51" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.244 bot - "2017-04-15 06:02:24" http://edicions.uib.cat/ojs/index.php/enginy/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.240 bot - "2017-04-15 06:02:52" http://edicions.uib.cat/ojs/index.php/enginy/article/download/144/119 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
