190.116.40.186 - - "2017-05-26 00:10:45" http://enginy.uib.es/index.php/enginy/article/download/78/57 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"
180.76.15.34 bot - "2017-05-26 00:22:12" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
85.25.237.72 bot - "2017-05-26 00:23:06" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/Mats2 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:07" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/Mats2 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:08" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:09" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:11" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/123/304 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:17" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:18" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:20" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/133 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:22" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/133/107 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:41" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:42" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:43" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/337 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:45" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/134 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:47" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/134/108 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:56" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/134 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:58" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/339 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:23:59" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/339 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:04" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/154 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:11" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/154/305 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:19" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/332 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:22" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/162 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:24" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/162/342 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:42" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/131 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:45" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/131 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:46" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/160 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:48" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/160/307 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:24:59" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/334 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:01" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/334/351 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:08" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:10" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/336/346 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:36" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/368 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:38" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/368/352 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:45" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/158 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:25:47" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/158/306 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:26:47" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/366 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
85.25.237.72 bot - "2017-05-26 00:26:53" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/376 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
157.55.39.91 bot - "2017-05-26 00:43:37" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
85.25.237.72 bot - "2017-05-26 00:59:54" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/372 200 "Linguee Bot (http://www.linguee.com/bot; bot@linguee.com)"
