2.155.139.53 - - "2017-10-21 00:07:36" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"
84.242.68.244 - - "2017-10-21 00:26:54" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/16.0.897.0 Safari/535.6"
169.48.66.89 - - "2017-10-21 00:30:24" http://enginy.uib.es/index.php/enginy/article/view/15 200 "Mozilla/5.0+(compatible;+PiplBot;+http://www.pipl.com/bot/)/Nutch-1.14-SNAPSHOT"
216.244.66.200 - - "2017-10-21 00:50:41" http://enginy.uib.es/index.php/enginy/article/view/77 200 "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
66.249.69.148 bot - "2017-10-21 01:25:05" http://enginy.uib.es/index.php/enginy/article/view/70 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.207 bot - "2017-10-21 02:20:58" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
216.244.66.200 - - "2017-10-21 03:14:11" http://enginy.uib.es/index.php/enginy/article/view/74 200 "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
84.242.68.244 - - "2017-10-21 04:08:52" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/Mats2 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/16.0.897.0 Safari/535.6"
216.244.66.200 - - "2017-10-21 04:30:53" http://enginy.uib.es/index.php/enginy/article/view/73 200 "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
66.249.69.146 bot - "2017-10-21 06:00:53" http://enginy.uib.es/index.php/enginy/article/view/93 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.148 bot - "2017-10-21 06:00:57" http://enginy.uib.es/index.php/enginy/article/download/25/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.148 bot - "2017-10-21 06:01:19" http://enginy.uib.es/index.php/enginy/article/view/55 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.146 bot - "2017-10-21 06:01:30" http://enginy.uib.es/index.php/enginy/article/download/75/54 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
