96.127.158.234 - - "2018-03-17 00:01:46" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
54.83.130.197 - - "2018-03-17 00:16:09" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:19:49" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:24:40" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
85.149.64.106 - - "2018-03-17 00:27:18" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "Java/1.8.0_161"
54.83.130.197 - - "2018-03-17 00:28:51" http://edicions.uib.cat/ojs/index.php/AMS/article/view/388 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:29:58" http://edicions.uib.cat/ojs/index.php/AMS/article/view/403 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:31:02" http://edicions.uib.cat/ojs/index.php/AMS/article/view/383 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:32:07" http://edicions.uib.cat/ojs/index.php/AMS/article/view/380 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:35:49" http://edicions.uib.cat/ojs/index.php/Eduhisedu/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:37:25" http://edicions.uib.cat/ojs/index.php/AMS/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:37:56" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:39:30" http://edicions.uib.cat/ojs/index.php/AMS/issue/view/77 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:52:11" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:52:45" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/Mats2 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
54.83.130.197 - - "2018-03-17 00:53:17" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
66.249.69.59 bot - "2018-03-17 00:53:48" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.59 bot - "2018-03-17 01:29:42" http://edicions.uib.cat/ojs/index.php/enginy/article/view/78 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
