190.110.218.97 - - "2018-04-28 00:04:04" http://edicions.uib.cat/ojs/index.php/AMS/article/download/383/389 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
152.206.59.56 - - "2018-04-28 00:24:22" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
180.76.15.10 bot - "2018-04-28 02:10:37" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
10.80.87.135 - - "2018-04-28 02:56:09" http://edicions.uib.cat/ojs/index.php/enginy/article/download/52/34 200 "file-uri"
10.80.87.135 - - "2018-04-28 02:56:10" http://edicions.uib.cat/ojs/index.php/enginy/article/download/52/34 200 "file-uri"
10.80.87.135 - - "2018-04-28 02:56:10" http://edicions.uib.cat/ojs/index.php/enginy/article/download/52/34 200 "file-uri"
10.80.87.135 - - "2018-04-28 02:56:11" http://edicions.uib.cat/ojs/index.php/enginy/article/download/52/34 200 "file-uri"
189.135.201.82 - - "2018-04-28 03:19:23" http://edicions.uib.cat/ojs/index.php/enginy/article/download/51/33 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36 OPR/52.0.2871.64"
66.249.64.217 bot - "2018-04-28 03:25:23" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
187.189.103.254 - - "2018-04-28 03:58:48" http://edicions.uib.cat/ojs/index.php/enginy/article/download/82/61 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
66.249.64.217 bot - "2018-04-28 04:12:45" http://edicions.uib.cat/ojs/index.php/enginy/article/download/33/17 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.152 bot - "2018-04-28 04:26:37" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/374 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
